Country Name,Country Code,Series Name,Series Code,2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4],2024Q1 [YR2024Q1],2024Q2 [YR2024Q2],2024Q3 [YR2024Q3],2024Q4 [YR2024Q4],2025Q1 [YR2025Q1]
South Africa,ZAF,"Ext. Assets in Debt Instruments, DI: Intercom Lending, All maturities, Debt between fellow enterprises, USD",DT.DOD.DIFE.CD.IL.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, DI: Intercom Lending, All maturities, Debt of dir. investment ent. to dir. investors, USD",DT.DOD.DIDI.CD.IL.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, DI: Intercom Lending, All maturities, Debt of dir. investors to dir. investment ent., USD",DT.DOD.DIIE.CD.IL.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, All maturities, All instruments, USD",DT.DOD.DECT.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, All instruments, USD",DT.DOD.DLXF.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, Loans, USD",DT.DOD.DLTL.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, Other debt instruments, USD",DT.DOD.DLTO.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, Special drawing rights (SDRs), USD",DT.DOD.DLTS.CD.GG.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, All instruments, USD",DT.DOD.DSTC.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, Loans, USD",DT.DOD.DSTL.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, Other debt instruments, USD",DT.DOD.DSOO.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, General Government, Short-term, Unallocated gold accounts included in monetary gold, USD",DT.DOD.DSUN.CD.GG.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, All instruments, USD",DT.DOD.DLXF.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, Loans, USD",DT.DOD.DLTL.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, Other debt instruments, USD",DT.DOD.DLTO.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, All instruments, USD",DT.DOD.DSTC.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, Loans, USD",DT.DOD.DSTL.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
